progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
L2F3	spore_area	0.082249	37.840345	37.922594
L2F5	spore_area	0.150998	37.840345	37.991343
L2F6	spore_area	-0.033577	37.840345	37.806767
L2F7	spore_area	-0.089006	37.840345	37.751339
L2F8	spore_area	-0.057439	37.840345	37.782906
L2F9	spore_area	-0.088633	37.840345	37.751712
L2G1	spore_area	0.213387	37.840345	38.053732
L2G10	spore_area	-0.025711	37.840345	37.814634
L2G11	spore_area	-0.014792	37.840345	37.825553
L2G12	spore_area	-0.073354	37.840345	37.766991
L2G2	spore_area	0.130216	37.840345	37.970561
L2G3	spore_area	0.174986	37.840345	38.015331
L2G4	spore_area	-0.083235	37.840345	37.757109
L2G5	spore_area	-0.000273	37.840345	37.840072
L2G6	spore_area	-0.022134	37.840345	37.818211
L2G7	spore_area	-0.083404	37.840345	37.756941
L2G8	spore_area	-0.035065	37.840345	37.805279
L2H10	spore_area	-0.081473	37.840345	37.758872
L2H11	spore_area	-0.033874	37.840345	37.806471
L2H2	spore_area	-0.081513	37.840345	37.758832
L2H3	spore_area	-0.067806	37.840345	37.772539
L2H4	spore_area	0.056065	37.840345	37.89641
L2H5	spore_area	-0.13985	37.840345	37.700495
L2H6	spore_area	-0.010089	37.840345	37.830256
L2H7	spore_area	0.109027	37.840345	37.949372
L2H8	spore_area	-0.028924	37.840345	37.811421
L2H9	spore_area	0.025178	37.840345	37.865523
L2K10	spore_area	-0.085064	37.840345	37.755281
L2K11	spore_area	-0.084312	37.840345	37.756033
L2K3	spore_area	-0.019887	37.840345	37.820458
L2K7	spore_area	0.038856	37.840345	37.8792
L2K8	spore_area	0.015469	37.840345	37.855814
L2M1	spore_area	0.155004	37.840345	37.995349
L2M10	spore_area	-0.058352	37.840345	37.781992
L2M11	spore_area	-0.03763	37.840345	37.802715
L2M2	spore_area	-0.111534	37.840345	37.728811
L2M3	spore_area	-0.004169	37.840345	37.836175
L2M4	spore_area	-0.060543	37.840345	37.779802
L2M5	spore_area	-0.128396	37.840345	37.711948
L2M6	spore_area	-0.027252	37.840345	37.813093
L2M7	spore_area	-0.100318	37.840345	37.740027
L2M8	spore_area	-0.122222	37.840345	37.718123
L2M9	spore_area	-0.045878	37.840345	37.794467
L3C1	spore_area	-0.091621	37.840345	37.748723
L3C11	spore_area	-0.061739	37.840345	37.778606
L3C12	spore_area	0.198755	37.840345	38.0391
L3C2	spore_area	-0.052009	37.840345	37.788335
L3C3	spore_area	0.041733	37.840345	37.882078
L3C4	spore_area	0.005277	37.840345	37.845622
L3C5	spore_area	0.031554	37.840345	37.871899
L3C6	spore_area	-0.081453	37.840345	37.758892
L3C7	spore_area	0.045728	37.840345	37.886073
L3C8	spore_area	-0.105226	37.840345	37.735119
L3D1	spore_area	0.008411	37.840345	37.848756
L3D10	spore_area	0.113026	37.840345	37.95337
L3D11	spore_area	-0.058961	37.840345	37.781384
L3D12	spore_area	0.09425	37.840345	37.934595
L3D2	spore_area	-0.057678	37.840345	37.782667
L3D3	spore_area	0.060047	37.840345	37.900391
L3D4	spore_area	0.120359	37.840345	37.960704
L3D5	spore_area	-0.008987	37.840345	37.831358
L3D6	spore_area	0.397655	37.840345	38.238
L3D7	spore_area	-0.11003	37.840345	37.730315
L3D8	spore_area	-0.068299	37.840345	37.772046
L3D9	spore_area	0.041332	37.840345	37.881677
L3E1	spore_area	0.052681	37.840345	37.893026
L3E10	spore_area	-0.028914	37.840345	37.811431
L3E11	spore_area	-0.029693	37.840345	37.810651
L3E12	spore_area	0.024187	37.840345	37.864532
L3E2	spore_area	0.179908	37.840345	38.020253
L3E3	spore_area	0.033272	37.840345	37.873617
L3E4	spore_area	-0.09568	37.840345	37.744665
L3E5	spore_area	0.188171	37.840345	38.028516
L3E6	spore_area	-0.095257	37.840345	37.745088
L3E7	spore_area	-0.082744	37.840345	37.757601
L3E8	spore_area	-0.118752	37.840345	37.721593
L3E9	spore_area	-0.059739	37.840345	37.780606
L3F1	spore_area	0.052946	37.840345	37.893291
L3F10	spore_area	0.192839	37.840345	38.033184
L3F11	spore_area	-0.039667	37.840345	37.800678
L3F12	spore_area	0.105785	37.840345	37.94613
L3F2	spore_area	0.071394	37.840345	37.911739
L3F3	spore_area	-0.09988	37.840345	37.740465
L3F4	spore_area	-0.097326	37.840345	37.743018
L3F5	spore_area	0.029158	37.840345	37.869503
L3F6	spore_area	-0.121413	37.840345	37.718932
L3F7	spore_area	0.022313	37.840345	37.862658
L3F8	spore_area	-0.079513	37.840345	37.760832
L3F9	spore_area	-0.043698	37.840345	37.796647
L3G1	spore_area	0.073193	37.840345	37.913537
L3G10	spore_area	-0.016597	37.840345	37.823748
L3G11	spore_area	-0.034993	37.840345	37.805352
L3G12	spore_area	-0.034335	37.840345	37.80601
L3G2	spore_area	-0.063564	37.840345	37.77678
L3G3	spore_area	-0.068006	37.840345	37.772339
L3G4	spore_area	-0.062242	37.840345	37.778102
L3G5	spore_area	-0.022597	37.840345	37.817748
L3G6	spore_area	-0.128181	37.840345	37.712164
L3G7	spore_area	-0.098245	37.840345	37.7421
L3G8	spore_area	-0.14767	37.840345	37.692675
L3G9	spore_area	-0.14267	37.840345	37.697675
L3H10	spore_area	0.031228	37.840345	37.871573
L3H11	spore_area	0.131542	37.840345	37.971886
L3H2	spore_area	-0.071772	37.840345	37.768573
L3H3	spore_area	-0.08897	37.840345	37.751374
L3H4	spore_area	-0.066022	37.840345	37.774323
L3H5	spore_area	0.023937	37.840345	37.864281
L3H6	spore_area	-0.04236	37.840345	37.797985
L3H7	spore_area	-0.074946	37.840345	37.765399
L3H8	spore_area	-0.021076	37.840345	37.819269
L3H9	spore_area	-0.064894	37.840345	37.775451
L3K10	spore_area	0.024222	37.840345	37.864567
L3K11	spore_area	-0.041334	37.840345	37.799011
L3K3	spore_area	-0.102111	37.840345	37.738234
L3K7	spore_area	-0.067214	37.840345	37.77313
L3K8	spore_area	0.076388	37.840345	37.916732
L3K9	spore_area	0.074285	37.840345	37.91463
L3M1	spore_area	0.448022	37.840345	38.288367
L3M11	spore_area	0.06963	37.840345	37.909975
L3M12	spore_area	0.085061	37.840345	37.925406
L3M2	spore_area	0.083406	37.840345	37.923751
L3M3	spore_area	-0.113316	37.840345	37.727028
L3M4	spore_area	-0.112643	37.840345	37.727702
L3M5	spore_area	-0.043593	37.840345	37.796752
L3M6	spore_area	0.079159	37.840345	37.919504
L3M7	spore_area	-0.104216	37.840345	37.736129
L3M8	spore_area	-0.029553	37.840345	37.810792
L3M9	spore_area	-0.120231	37.840345	37.720114
L4C1	spore_area	0.070308	37.840345	37.910652
L4C10	spore_area	-0.09833	37.840345	37.742015
L4C11	spore_area	-0.038829	37.840345	37.801516
L4C12	spore_area	-0.128044	37.840345	37.7123
L4C2	spore_area	0.071182	37.840345	37.911527
L4C3	spore_area	-0.085759	37.840345	37.754586
L4C4	spore_area	-0.120668	37.840345	37.719677
L4C5	spore_area	-0.035184	37.840345	37.805161
L4C6	spore_area	0.05515	37.840345	37.895495
L4C7	spore_area	-0.095471	37.840345	37.744874
L4C8	spore_area	-0.161635	37.840345	37.67871
L4C9	spore_area	0.063332	37.840345	37.903677
L4D1	spore_area	0.018943	37.840345	37.859288
L4D10	spore_area	-0.11099	37.840345	37.729355
L4D11	spore_area	0.056292	37.840345	37.896637
L4D12	spore_area	0.161727	37.840345	38.002072
L4D2	spore_area	-0.046503	37.840345	37.793842
L4D3	spore_area	0.232767	37.840345	38.073112
L4D4	spore_area	0.20756	37.840345	38.047905
L4D5	spore_area	-0.069938	37.840345	37.770407
L4D6	spore_area	-0.093956	37.840345	37.746389
L4D7	spore_area	-0.076573	37.840345	37.763772
L4D8	spore_area	-0.089494	37.840345	37.750851
L4D9	spore_area	-0.072652	37.840345	37.767693
L4E1	spore_area	-0.163849	37.840345	37.676496
L4E10	spore_area	-0.127601	37.840345	37.712743
L4E11	spore_area	0.078366	37.840345	37.918711
L4E12	spore_area	0.007313	37.840345	37.847657
L4E2	spore_area	0.122767	37.840345	37.963112
L4E3	spore_area	-0.017868	37.840345	37.822477
L4E4	spore_area	-0.11453	37.840345	37.725815
L4E5	spore_area	0.137059	37.840345	37.977404
L4E6	spore_area	0.203023	37.840345	38.043367
L4E7	spore_area	-0.063652	37.840345	37.776693
L4E8	spore_area	0.232725	37.840345	38.07307
L4E9	spore_area	0.083516	37.840345	37.923861
L4F1	spore_area	0.285321	37.840345	38.125666
L4F10	spore_area	-0.048533	37.840345	37.791812
L4F11	spore_area	0.098062	37.840345	37.938407
L4F12	spore_area	0.093823	37.840345	37.934168
L4F2	spore_area	0.224145	37.840345	38.064489
L4F3	spore_area	-0.176592	37.840345	37.663753
L4F4	spore_area	-0.013365	37.840345	37.82698
L4F5	spore_area	-0.085636	37.840345	37.754709
L4F6	spore_area	-0.009827	37.840345	37.830518
L4F7	spore_area	0.047472	37.840345	37.887817
L4F8	spore_area	-0.085099	37.840345	37.755245
L4F9	spore_area	-0.150883	37.840345	37.689462
L4G1	spore_area	-0.080319	37.840345	37.760025
L4G10	spore_area	0.258585	37.840345	38.09893
L4G11	spore_area	0.111384	37.840345	37.951728
L4G12	spore_area	0.109214	37.840345	37.949559
L4G2	spore_area	-0.159138	37.840345	37.681207
L4G3	spore_area	-0.036748	37.840345	37.803597
L4G4	spore_area	0.041447	37.840345	37.881791
L4G5	spore_area	-0.045013	37.840345	37.795332
L4G6	spore_area	-0.042049	37.840345	37.798296
L4G7	spore_area	-0.09617	37.840345	37.744175
L4G8	spore_area	0.044515	37.840345	37.88486
L4G9	spore_area	0.17566	37.840345	38.016005
L4H10	spore_area	0.085375	37.840345	37.92572
L4H11	spore_area	0.076133	37.840345	37.916478
L4H2	spore_area	-0.046077	37.840345	37.794268
L4H3	spore_area	-0.044925	37.840345	37.79542
L4H4	spore_area	0.060791	37.840345	37.901136
L4H5	spore_area	-0.03082	37.840345	37.809525
L4H6	spore_area	-0.053202	37.840345	37.787143
L4H7	spore_area	0.2593	37.840345	38.099645
L4H8	spore_area	0.213886	37.840345	38.054231
L4H9	spore_area	0.08495	37.840345	37.925295
L4K10	spore_area	0.267569	37.840345	38.107914
L4K11	spore_area	-0.047143	37.840345	37.793202
L4K3	spore_area	-0.106183	37.840345	37.734162
L4K8	spore_area	-0.000487	37.840345	37.839858
L4K9	spore_area	0.009405	37.840345	37.84975
L4M1	spore_area	-0.057848	37.840345	37.782496
L4M10	spore_area	-0.178001	37.840345	37.662343
L4M11	spore_area	-0.10744	37.840345	37.732905
L4M12	spore_area	-0.06504	37.840345	37.775305
L4M2	spore_area	-0.009991	37.840345	37.830354
L4M3	spore_area	-0.107019	37.840345	37.733326
L4M4	spore_area	-0.132365	37.840345	37.70798
L4M5	spore_area	-0.159564	37.840345	37.68078
L4M6	spore_area	-0.084721	37.840345	37.755624
L4M7	spore_area	-0.161508	37.840345	37.678837
L4M8	spore_area	-0.14518	37.840345	37.695164
L4M9	spore_area	-0.046175	37.840345	37.794169
L5C10	spore_area	-0.080676	37.840345	37.759668
L5C12	spore_area	-0.012972	37.840345	37.827373
L5C2	spore_area	-0.017367	37.840345	37.822977
L5C4	spore_area	0.102793	37.840345	37.943138
L5C5	spore_area	0.340079	37.840345	38.180424
L5C7	spore_area	0.054869	37.840345	37.895214
L5C9	spore_area	0.040758	37.840345	37.881103
L5D11	spore_area	-0.060613	37.840345	37.779732
L5D12	spore_area	0.108689	37.840345	37.949034
L5D3	spore_area	-0.170236	37.840345	37.670109
L5D5	spore_area	-0.028539	37.840345	37.811805
L5D6	spore_area	-0.014929	37.840345	37.825416
L5D7	spore_area	-0.070008	37.840345	37.770337
L5D8	spore_area	-0.201748	37.840345	37.638597
L5D9	spore_area	-0.073911	37.840345	37.766433
L5E10	spore_area	0.444677	37.840345	38.285021
L5E11	spore_area	-0.105105	37.840345	37.73524
L5E12	spore_area	-0.026931	37.840345	37.813413
L5E2	spore_area	0.007639	37.840345	37.847984
L5E4	spore_area	0.140254	37.840345	37.980599
L5E5	spore_area	-0.119992	37.840345	37.720353
L5E6	spore_area	0.01674	37.840345	37.857085
L5E7	spore_area	0.031157	37.840345	37.871502
L5E8	spore_area	0.288232	37.840345	38.128577
L5E9	spore_area	0.255767	37.840345	38.096111
L5F10	spore_area	-0.083284	37.840345	37.757061
L5F11	spore_area	0.191551	37.840345	38.031895
L5F12	spore_area	0.328547	37.840345	38.168892
L5F2	spore_area	-0.037405	37.840345	37.80294
L5F3	spore_area	-0.089051	37.840345	37.751294
L5F4	spore_area	-0.028507	37.840345	37.811838
L5F5	spore_area	-0.171932	37.840345	37.668413
L5F6	spore_area	-0.076654	37.840345	37.76369
L5F7	spore_area	-0.23369	37.840345	37.606654
L5F8	spore_area	0.03097	37.840345	37.871315
L5F9	spore_area	-0.091223	37.840345	37.749122
L5G1	spore_area	0.250723	37.840345	38.091068
L5G10	spore_area	-0.047463	37.840345	37.792882
L5G11	spore_area	-0.179426	37.840345	37.660918
L5G12	spore_area	0.07383	37.840345	37.914175
L5G2	spore_area	0.060175	37.840345	37.90052
L5G3	spore_area	0.134184	37.840345	37.974528
L5G4	spore_area	-0.017196	37.840345	37.823149
L5G5	spore_area	0.092045	37.840345	37.932389
L5G6	spore_area	0.124983	37.840345	37.965328
L5G7	spore_area	-0.041723	37.840345	37.798621
L5G8	spore_area	-0.166715	37.840345	37.67363
L5G9	spore_area	0.068255	37.840345	37.9086
L5H11	spore_area	0.088408	37.840345	37.928753
L5H2	spore_area	0.062075	37.840345	37.90242
L5H3	spore_area	-0.117945	37.840345	37.7224
L5H4	spore_area	0.182616	37.840345	38.022961
L5H7	spore_area	-0.147415	37.840345	37.69293
L5K10	spore_area	-0.124057	37.840345	37.716288
L5K11	spore_area	-0.083355	37.840345	37.75699
L5K3	spore_area	-0.078828	37.840345	37.761517
L5K7	spore_area	-0.171978	37.840345	37.668366
L5K8	spore_area	0.050034	37.840345	37.890379
L5K9	spore_area	0.043326	37.840345	37.883671
L5M1	spore_area	-0.044164	37.840345	37.796181
L5M10	spore_area	0.193224	37.840345	38.033569
L5M11	spore_area	-0.148289	37.840345	37.692056
L5M12	spore_area	0.137045	37.840345	37.977389
L5M2	spore_area	0.037681	37.840345	37.878026
L5M3	spore_area	-0.068616	37.840345	37.771729
L5M4	spore_area	-0.128554	37.840345	37.71179
L5M5	spore_area	-0.108787	37.840345	37.731558
L5M6	spore_area	0.055816	37.840345	37.89616
L5M7	spore_area	-0.083838	37.840345	37.756507
L5M8	spore_area	-0.037619	37.840345	37.802726
L5M9	spore_area	-0.104597	37.840345	37.735748
