progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
Strain_060	spore_area	0.874968	50.53983	51.414799
Strain_061	spore_area	2.105005	50.53983	52.644835
Strain_062	spore_area	2.81003	50.53983	53.34986
Strain_063	spore_area	1.20761	50.53983	51.74744
Strain_064	spore_area	1.204871	50.53983	51.744701
Strain_065	spore_area	-0.856536	50.53983	49.683295
Strain_066	spore_area	0.132413	50.53983	50.672243
Strain_067	spore_area	0.843967	50.53983	51.383797
Strain_068	spore_area	-0.15256	50.53983	50.38727
Strain_069	spore_area	0.972978	50.53983	51.512808
Strain_070	spore_area	0.301977	50.53983	50.841807
Strain_071	spore_area	1.705306	50.53983	52.245136
Strain_072	spore_area	-1.491912	50.53983	49.047918
Strain_073	spore_area	1.792417	50.53983	52.332248
Strain_074	spore_area	0.101371	50.53983	50.641201
Strain_075	spore_area	2.341787	50.53983	52.881617
Strain_076	spore_area	0.876803	50.53983	51.416633
Strain_077	spore_area	2.387658	50.53983	52.927488
Strain_078	spore_area	3.367392	50.53983	53.907223
Strain_079	spore_area	0.775637	50.53983	51.315467
Strain_080	spore_area	-1.385528	50.53983	49.154302
Strain_081	spore_area	-0.881503	50.53983	49.658327
Strain_082	spore_area	0.595317	50.53983	51.135147
Strain_083	spore_area	-0.273321	50.53983	50.266509
Strain_084	spore_area	2.300638	50.53983	52.840468
Strain_085	spore_area	-1.962517	50.53983	48.577313
Strain_086	spore_area	0.376823	50.53983	50.916654
Strain_087	spore_area	-0.736912	50.53983	49.802919
Strain_088	spore_area	-1.162863	50.53983	49.376967
Strain_089	spore_area	-0.075211	50.53983	50.464619
Strain_090	spore_area	0.122225	50.53983	50.662055
Strain_091	spore_area	-1.282753	50.53983	49.257077
Strain_092	spore_area	1.646173	50.53983	52.186003
Strain_093	spore_area	0.993481	50.53983	51.533311
Strain_094	spore_area	0.899214	50.53983	51.439045
Strain_095	spore_area	1.307862	50.53983	51.847693
Strain_096	spore_area	2.135016	50.53983	52.674846
Strain_097	spore_area	-0.675199	50.53983	49.864631
Strain_098	spore_area	0.304036	50.53983	50.843866
Strain_099	spore_area	0.791066	50.53983	51.330896
Strain_100	spore_area	2.146486	50.53983	52.686316
Strain_101	spore_area	-1.167053	50.53983	49.372778
Strain_102	spore_area	-1.746806	50.53983	48.793024
Strain_103	spore_area	-2.165207	50.53983	48.374623
Strain_104	spore_area	-0.762784	50.53983	49.777046
Strain_105	spore_area	0.450053	50.53983	50.989883
Strain_106	spore_area	1.279205	50.53983	51.819035
Strain_107	spore_area	0.548009	50.53983	51.087839
Strain_108	spore_area	-1.643772	50.53983	48.896058
Strain_109	spore_area	-1.414352	50.53983	49.125478
Strain_110	spore_area	0.35051	50.53983	50.89034
Strain_111	spore_area	1.182743	50.53983	51.722573
Strain_112	spore_area	-0.512514	50.53983	50.027317
Strain_113	spore_area	-0.612306	50.53983	49.927524
Strain_114	spore_area	0.328022	50.53983	50.867852
Strain_115	spore_area	-4.763345	50.53983	45.776485
Strain_116	spore_area	0.732507	50.53983	51.272337
Strain_117	spore_area	0.989871	50.53983	51.529702
Strain_118	spore_area	-0.683651	50.53983	49.856179
Strain_119	spore_area	-1.85307	50.53983	48.68676
Strain_120	spore_area	2.813602	50.53983	53.353432
Strain_121	spore_area	0.164479	50.53983	50.704309
Strain_122	spore_area	-1.797692	50.53983	48.742138
Strain_123	spore_area	-2.98632	50.53983	47.55351
Strain_124	spore_area	1.376384	50.53983	51.916214
Strain_125	spore_area	2.207064	50.53983	52.746894
Strain_126	spore_area	-1.219901	50.53983	49.319929
Strain_127	spore_area	2.379691	50.53983	52.919522
Strain_128	spore_area	1.799426	50.53983	52.339257
Strain_129	spore_area	-0.697967	50.53983	49.841864
Strain_130	spore_area	0.192893	50.53983	50.732723
Strain_131	spore_area	-1.911102	50.53983	48.628729
Strain_132	spore_area	1.424943	50.53983	51.964773
Strain_133	spore_area	0.247385	50.53983	50.787216
Strain_134	spore_area	1.730771	50.53983	52.270601
Strain_135	spore_area	-0.613217	50.53983	49.926613
Strain_136	spore_area	-0.108527	50.53983	50.431303
Strain_137	spore_area	-2.443365	50.53983	48.096465
Strain_138	spore_area	0.44834	50.53983	50.988171
Strain_139	spore_area	-1.23395	50.53983	49.30588
Strain_140	spore_area	-1.467063	50.53983	49.072767
Strain_141	spore_area	0.512447	50.53983	51.052277
Strain_142	spore_area	2.875475	50.53983	53.415305
Strain_143	spore_area	1.409246	50.53983	51.949076
Strain_144	spore_area	0.410299	50.53983	50.950129
Strain_145	spore_area	-0.37196	50.53983	50.167871
Strain_146	spore_area	-1.775105	50.53983	48.764725
Strain_147	spore_area	-1.093207	50.53983	49.446623
Strain_148	spore_area	-1.846221	50.53983	48.693609
Strain_149	spore_area	1.097556	50.53983	51.637386
Strain_150	spore_area	0.028172	50.53983	50.568002
Strain_151	spore_area	-2.068871	50.53983	48.470959
Strain_152	spore_area	0.952778	50.53983	51.492608
Strain_153	spore_area	-0.631716	50.53983	49.908115
Strain_154	spore_area	-1.747402	50.53983	48.792429
Strain_155	spore_area	1.471474	50.53983	52.011304
Strain_156	spore_area	4.653457	50.53983	55.193287
Strain_157	spore_area	-0.620391	50.53983	49.919439
Strain_158	spore_area	1.05377	50.53983	51.5936
Strain_159	spore_area	-1.627968	50.53983	48.911862
Strain_160	spore_area	-0.275644	50.53983	50.264187
Strain_161	spore_area	0.557886	50.53983	51.097716
Strain_162	spore_area	3.829759	50.53983	54.369589
Strain_163	spore_area	-1.041946	50.53983	49.497884
Strain_164	spore_area	0.469047	50.53983	51.008877
Strain_165	spore_area	-0.463246	50.53983	50.076584
Strain_166	spore_area	-1.239255	50.53983	49.300575
Strain_167	spore_area	-2.025578	50.53983	48.514252
Strain_168	spore_area	-1.371418	50.53983	49.168412
Strain_169	spore_area	0.704518	50.53983	51.244348
Strain_170	spore_area	-2.066291	50.53983	48.473539
Strain_171	spore_area	2.697446	50.53983	53.237276
Strain_172	spore_area	-1.760944	50.53983	48.778886
Strain_173	spore_area	-1.017847	50.53983	49.521983
Strain_174	spore_area	0.428781	50.53983	50.968612
Strain_175	spore_area	-0.443657	50.53983	50.096173
Strain_176	spore_area	-0.532615	50.53983	50.007216
Strain_177	spore_area	0.202568	50.53983	50.742398
Strain_178	spore_area	-0.085965	50.53983	50.453866
Strain_179	spore_area	-2.175503	50.53983	48.364327
Strain_180	spore_area	-2.85526	50.53983	47.68457
Strain_181	spore_area	0.350977	50.53983	50.890807
Strain_182	spore_area	0.755334	50.53983	51.295164
Strain_183	spore_area	1.127048	50.53983	51.666878
Strain_184	spore_area	0.91978	50.53983	51.45961
Strain_185	spore_area	-0.23133	50.53983	50.3085
Strain_186	spore_area	-0.770236	50.53983	49.769594
Strain_187	spore_area	-0.848864	50.53983	49.690966
Strain_188	spore_area	-1.042405	50.53983	49.497426
Strain_189	spore_area	0.089543	50.53983	50.629374
Strain_190	spore_area	-1.180248	50.53983	49.359583
Strain_191	spore_area	-0.248236	50.53983	50.291595
Strain_192	spore_area	-1.610564	50.53983	48.929266
Strain_193	spore_area	-0.420461	50.53983	50.119369
Strain_194	spore_area	2.334975	50.53983	52.874805
Strain_195	spore_area	-0.064882	50.53983	50.474948
Strain_196	spore_area	0.862178	50.53983	51.402008
Strain_197	spore_area	-2.516338	50.53983	48.023493
Strain_198	spore_area	-3.584006	50.53983	46.955824
Strain_199	spore_area	1.228949	50.53983	51.768779
Strain_200	spore_area	0.49089	50.53983	51.03072
