progeny_strain	trait	BLUP	OverallMean	MeanAdj_BLUP
Strain_059	optical_density	1.184279	60.152174	61.336454
Strain_060	optical_density	1.95152	60.152174	62.103695
Strain_061	optical_density	-4.019401	60.152174	56.132774
Strain_062	optical_density	1.279535	60.152174	61.43171
Strain_063	optical_density	-0.580152	60.152174	59.572022
Strain_064	optical_density	1.211379	60.152174	61.363554
Strain_065	optical_density	0.088488	60.152174	60.240662
Strain_066	optical_density	0.858808	60.152174	61.010983
Strain_067	optical_density	0.40935	60.152174	60.561525
Strain_068	optical_density	1.113253	60.152174	61.265427
Strain_069	optical_density	2.629379	60.152174	62.781553
Strain_070	optical_density	4.096022	60.152174	64.248196
Strain_071	optical_density	1.079859	60.152174	61.232033
Strain_072	optical_density	-3.170737	60.152174	56.981437
Strain_073	optical_density	0.699301	60.152174	60.851475
Strain_074	optical_density	-0.213275	60.152174	59.9389
Strain_075	optical_density	-0.995528	60.152174	59.156647
Strain_076	optical_density	0.670181	60.152174	60.822355
Strain_077	optical_density	1.896499	60.152174	62.048673
Strain_078	optical_density	1.663876	60.152174	61.816051
Strain_079	optical_density	-2.176844	60.152174	57.97533
Strain_080	optical_density	-0.618301	60.152174	59.533873
Strain_081	optical_density	0.228575	60.152174	60.38075
Strain_082	optical_density	0.913149	60.152174	61.065323
Strain_083	optical_density	-3.099796	60.152174	57.052379
Strain_084	optical_density	-1.249371	60.152174	58.902803
Strain_085	optical_density	-1.103689	60.152174	59.048485
Strain_086	optical_density	-1.935065	60.152174	58.217109
Strain_087	optical_density	0.226654	60.152174	60.378829
Strain_088	optical_density	0.483914	60.152174	60.636088
Strain_089	optical_density	-0.841243	60.152174	59.310931
Strain_090	optical_density	-0.094922	60.152174	60.057252
Strain_091	optical_density	-1.768303	60.152174	58.383872
Strain_092	optical_density	-1.39982	60.152174	58.752354
Strain_093	optical_density	-1.584286	60.152174	58.567889
Strain_094	optical_density	-0.90251	60.152174	59.249665
Strain_095	optical_density	2.783479	60.152174	62.935653
Strain_096	optical_density	-0.995895	60.152174	59.156279
Strain_097	optical_density	-3.17382	60.152174	56.978354
Strain_098	optical_density	-0.093636	60.152174	60.058538
Strain_099	optical_density	2.097798	60.152174	62.249973
Strain_100	optical_density	2.144108	60.152174	62.296282
Strain_101	optical_density	-0.883088	60.152174	59.269086
Strain_102	optical_density	-1.99996	60.152174	58.152214
Strain_103	optical_density	2.926568	60.152174	63.078742
Strain_104	optical_density	-2.475541	60.152174	57.676633
Strain_105	optical_density	2.081943	60.152174	62.234117
Strain_106	optical_density	1.99317	60.152174	62.145344
Strain_107	optical_density	-3.359125	60.152174	56.793049
Strain_108	optical_density	-0.781696	60.152174	59.370479
Strain_109	optical_density	-2.591766	60.152174	57.560409
Strain_110	optical_density	-0.51743	60.152174	59.634744
Strain_111	optical_density	2.109608	60.152174	62.261782
Strain_112	optical_density	-1.449893	60.152174	58.702281
Strain_113	optical_density	0.827796	60.152174	60.979971
Strain_114	optical_density	0.676257	60.152174	60.828432
Strain_115	optical_density	-0.387281	60.152174	59.764893
Strain_116	optical_density	0.212335	60.152174	60.364509
Strain_117	optical_density	1.821566	60.152174	61.97374
Strain_118	optical_density	1.212627	60.152174	61.364801
Strain_119	optical_density	-0.972535	60.152174	59.179639
Strain_120	optical_density	0.376865	60.152174	60.529039
Strain_121	optical_density	0.013779	60.152174	60.165954
Strain_122	optical_density	0.955127	60.152174	61.107302
Strain_123	optical_density	2.135713	60.152174	62.287888
Strain_124	optical_density	-0.197875	60.152174	59.954299
Strain_125	optical_density	-1.251401	60.152174	58.900773
Strain_126	optical_density	0.611822	60.152174	60.763996
Strain_127	optical_density	0.17437	60.152174	60.326545
Strain_128	optical_density	-1.411805	60.152174	58.740369
Strain_129	optical_density	-3.926113	60.152174	56.226062
Strain_130	optical_density	0.514316	60.152174	60.66649
Strain_131	optical_density	-2.39179	60.152174	57.760384
Strain_132	optical_density	1.715	60.152174	61.867174
Strain_133	optical_density	0.384329	60.152174	60.536504
Strain_134	optical_density	1.449508	60.152174	61.601682
Strain_135	optical_density	-0.152744	60.152174	59.99943
Strain_136	optical_density	-1.147143	60.152174	59.005031
Strain_137	optical_density	1.141343	60.152174	61.293518
Strain_138	optical_density	2.543488	60.152174	62.695662
Strain_139	optical_density	1.868003	60.152174	62.020177
Strain_140	optical_density	-4.141896	60.152174	56.010279
Strain_141	optical_density	1.587639	60.152174	61.739813
Strain_142	optical_density	1.060129	60.152174	61.212303
Strain_143	optical_density	0.139912	60.152174	60.292086
Strain_144	optical_density	1.394349	60.152174	61.546523
Strain_145	optical_density	1.578415	60.152174	61.73059
Strain_146	optical_density	0.62145	60.152174	60.773625
Strain_147	optical_density	2.309614	60.152174	62.461789
Strain_148	optical_density	-0.122591	60.152174	60.029583
Strain_149	optical_density	1.444035	60.152174	61.596209
Strain_150	optical_density	3.086368	60.152174	63.238543
Strain_151	optical_density	2.583529	60.152174	62.735704
Strain_152	optical_density	-0.078442	60.152174	60.073732
Strain_153	optical_density	-2.981782	60.152174	57.170393
Strain_154	optical_density	3.118128	60.152174	63.270302
Strain_155	optical_density	-1.000091	60.152174	59.152083
Strain_156	optical_density	5.005026	60.152174	65.1572
Strain_157	optical_density	0.396796	60.152174	60.548971
Strain_158	optical_density	2.74913	60.152174	62.901304
Strain_159	optical_density	-0.479002	60.152174	59.673173
Strain_160	optical_density	-0.458675	60.152174	59.693499
Strain_161	optical_density	1.926489	60.152174	62.078664
Strain_162	optical_density	-2.009717	60.152174	58.142457
Strain_163	optical_density	0.491412	60.152174	60.643587
Strain_164	optical_density	1.147928	60.152174	61.300102
Strain_165	optical_density	0.672009	60.152174	60.824183
Strain_166	optical_density	-3.162836	60.152174	56.989338
Strain_167	optical_density	-1.146508	60.152174	59.005666
Strain_168	optical_density	1.848307	60.152174	62.000482
Strain_169	optical_density	0.631389	60.152174	60.783564
Strain_170	optical_density	0.881614	60.152174	61.033788
Strain_171	optical_density	-2.424382	60.152174	57.727792
Strain_172	optical_density	1.383553	60.152174	61.535728
Strain_173	optical_density	0.593832	60.152174	60.746006
Strain_174	optical_density	0.955686	60.152174	61.107861
Strain_175	optical_density	0.382204	60.152174	60.534378
Strain_176	optical_density	-3.160141	60.152174	56.992034
Strain_177	optical_density	3.890536	60.152174	64.04271
Strain_178	optical_density	-1.875147	60.152174	58.277027
Strain_179	optical_density	-1.386518	60.152174	58.765657
Strain_180	optical_density	0.219304	60.152174	60.371479
Strain_181	optical_density	-2.324859	60.152174	57.827316
Strain_182	optical_density	0.243311	60.152174	60.395485
Strain_183	optical_density	3.745959	60.152174	63.898134
Strain_184	optical_density	-0.989256	60.152174	59.162919
Strain_185	optical_density	-1.605577	60.152174	58.546597
Strain_186	optical_density	0.939087	60.152174	61.091261
Strain_187	optical_density	-0.038463	60.152174	60.113711
Strain_188	optical_density	1.067376	60.152174	61.219551
Strain_189	optical_density	2.555431	60.152174	62.707606
Strain_190	optical_density	0.244904	60.152174	60.397078
Strain_191	optical_density	-0.565306	60.152174	59.586868
Strain_192	optical_density	-3.459151	60.152174	56.693024
Strain_193	optical_density	-0.964333	60.152174	59.187841
Strain_194	optical_density	1.937724	60.152174	62.089899
Strain_195	optical_density	-3.873758	60.152174	56.278416
Strain_196	optical_density	-3.412078	60.152174	56.740096
Strain_197	optical_density	-0.9271	60.152174	59.225075
Strain_198	optical_density	0.515428	60.152174	60.667603
Strain_199	optical_density	-0.303998	60.152174	59.848177
Strain_200	optical_density	0.621674	60.152174	60.773848
