progeny_strain	batch	spore_area	optical_density
Strain_133	Batch_2	47.733135	60.906936
Strain_134	Batch_2	52.563297	60.550825
Strain_135	Batch_3	50.771752	59.974191
Strain_136	Batch_3	51.893202	59.74377
Strain_137	Batch_3	48.344628	64.467389
Strain_138	Batch_2	49.462312	62.519991
Strain_139	Batch_1	47.510569	62.604187
Strain_140	Batch_2	46.089102	56.051626
Strain_141	Batch_1	54.045721	64.905515
Strain_142	Batch_3	57.923638	62.656067
Strain_143	Batch_3	51.911999	61.957108
Strain_144	Batch_2	48.266961	60.527587
Strain_145	Batch_1	49.141921	63.400838
Strain_146	Batch_3	48.520801	60.50044
Strain_147	Batch_1	50.209929	66.042147
Strain_148	Batch_3	48.768804	61.567797
Strain_149	Batch_2	53.658309	62.807141
Strain_150	Batch_2	50.698659	60.762538
Strain_151	Batch_1	44.757362	61.553164
Strain_152	Batch_3	52.59409	60.649085
Strain_153	Batch_2	49.260652	53.336865
Strain_154	Batch_1	48.110594	63.542749
Strain_155	Batch_3	53.005086	61.437852
Strain_156	Batch_3	57.308016	67.076647
Strain_157	Batch_3	45.784159	58.128291
Strain_158	Batch_1	52.838187	64.501448
Strain_159	Batch_2	48.802398	56.746696
Strain_160	Batch_2	48.793646	58.126514
Strain_161	Batch_1	53.307077	62.078422
Strain_162	Batch_2	55.405624	57.547606
Strain_163	Batch_3	53.373392	62.263758
Strain_164	Batch_3	51.271992	62.394867
Strain_165	Batch_1	49.344526	61.271598
Strain_166	Batch_2	49.586498	54.207613
Strain_167	Batch_1	49.171404	57.509661
Strain_168	Batch_2	43.398664	62.578873
Strain_169	Batch_3	48.20351	62.048312
Strain_170	Batch_3	48.38102	60.981621
Strain_171	Batch_1	52.303369	57.24626
Strain_172	Batch_3	48.484494	63.985362
Strain_173	Batch_2	44.845647	59.828414
Strain_174	Batch_1	47.929047	61.353077
Strain_175	Batch_1	49.022201	58.640224
Strain_176	Batch_2	51.531623	55.26591
Strain_177	Batch_3	48.489887	65.091477
Strain_178	Batch_1	50.599344	57.569944
Strain_179	Batch_2	NA	NA
Strain_180	Batch_2	47.252423	60.27184
Strain_181	Batch_1	51.483382	56.099347
Strain_182	Batch_2	54.442673	58.171879
Strain_183	Batch_1	50.71701	66.136185
Strain_184	Batch_1	51.16549	57.278481
Strain_185	Batch_2	48.686583	59.881474
Strain_186	Batch_1	50.741442	59.653138
Strain_187	Batch_3	49.176372	60.356177
Strain_188	Batch_1	49.499695	60.446215
Strain_189	Batch_1	52.107515	61.114292
Strain_190	Batch_2	44.555957	63.415649
Strain_191	Batch_1	55.577663	59.616589
Strain_192	Batch_2	49.123106	52.021266
Strain_193	Batch_1	47.271187	59.57232
Strain_194	Batch_1	52.374671	61.060125
Strain_195	Batch_1	NA	NA
Strain_196	Batch_3	53.073715	56.979502
Strain_197	Batch_3	47.838655	59.266109
Strain_198	Batch_2	46.130381	59.50807
Strain_199	Batch_1	48.138487	63.059615
Strain_200	Batch_2	50.39037	56.199118
Strain_001	Batch_3	48.537697	61.585682
Strain_002	Batch_2	46.069291	59.81582
Strain_003	Batch_3	51.81832	59.439232
Strain_004	Batch_2	48.015927	58.184376
Strain_005	Batch_3	52.570207	55.072099
Strain_006	Batch_1	41.344732	59.013485
Strain_007	Batch_1	52.164386	63.727129
Strain_008	Batch_1	50.855518	68.166317
Strain_009	Batch_1	53.713584	62.633996
Strain_010	Batch_3	51.261901	63.963089
Strain_011	Batch_2	48.631696	58.467633
Strain_012	Batch_1	58.760196	64.615068
Strain_013	Batch_2	53.037784	61.051268
Strain_014	Batch_1	46.640997	60.225172
Strain_015	Batch_3	53.843121	56.156431
Strain_016	Batch_3	49.280594	58.491854
Strain_017	Batch_1	51.374713	55.197939
Strain_018	Batch_2	51.44903	58.646774
Strain_019	Batch_3	48.510741	59.858877
Strain_020	Batch_1	52.56857	66.158276
Strain_021	Batch_3	55.013234	60.463775
Strain_022	Batch_2	48.464064	60.379201
Strain_023	Batch_1	44.098945	62.63007
Strain_024	Batch_1	53.626259	61.216532
Strain_025	Batch_1	53.571051	62.301187
Strain_026	Batch_1	47.56751	57.274719
Strain_027	Batch_1	49.726501	63.483991
Strain_028	Batch_3	59.032292	58.455609
Strain_029	Batch_2	NA	NA
Strain_030	Batch_2	51.102128	60.450238
Strain_031	Batch_2	54.402508	61.718966
Strain_032	Batch_3	46.464436	53.848398
Strain_033	Batch_1	50.136475	61.223724
Strain_034	Batch_2	52.813964	56.905999
Strain_035	Batch_2	48.693985	59.816402
Strain_036	Batch_1	56.352815	57.331822
Strain_037	Batch_2	43.789603	62.754375
Strain_038	Batch_1	50.636098	62.180042
Strain_039	Batch_1	52.30367	59.260567
Strain_040	Batch_2	50.596423	58.512326
Strain_041	Batch_3	53.217617	61.860256
Strain_042	Batch_1	47.947129	55.021094
Strain_043	Batch_3	50.07838	55.333636
Strain_044	Batch_1	NA	NA
Strain_045	Batch_2	51.577735	64.975221
Strain_046	Batch_1	46.569856	64.227738
Strain_047	Batch_2	50.054644	57.191389
Strain_048	Batch_2	43.798666	53.578458
Strain_049	Batch_2	49.596679	57.367036
Strain_050	Batch_3	56.769354	62.727745
Strain_051	Batch_1	50.097921	61.085342
Strain_052	Batch_1	49.77762	54.848314
Strain_053	Batch_1	50.312935	61.871445
Strain_054	Batch_1	52.541989	61.967416
Strain_055	Batch_3	50.646851	61.060807
Strain_056	Batch_1	48.655418	60.120887
Strain_057	Batch_2	47.564184	57.977012
Strain_058	Batch_1	51.631372	54.750423
Strain_059	Batch_2	52.264971	59.74543
Strain_060	Batch_2	52.518993	62.657195
Strain_061	Batch_1	53.373637	53.236162
Strain_062	Batch_1	56.089141	63.724848
Strain_063	Batch_1	42.956782	58.831504
Strain_064	Batch_1	55.624913	63.790219
Strain_065	Batch_3	52.457404	57.663229
Strain_066	Batch_1	50.525967	60.523068
Strain_067	Batch_1	47.357778	59.714805
Strain_068	Batch_1	49.690216	64.537157
Strain_069	Batch_2	50.133146	64.513939
Strain_070	Batch_2	50.776195	64.359231
Strain_071	Batch_3	54.487151	63.813394
Strain_072	Batch_2	48.658278	53.803247
Strain_073	Batch_3	52.797446	62.610211
Strain_074	Batch_1	49.552941	60.806406
Strain_075	Batch_1	52.837274	58.672735
Strain_076	Batch_1	51.393883	63.676966
Strain_077	Batch_1	51.819316	65.585238
Strain_078	Batch_1	56.085066	61.403511
Strain_079	Batch_3	49.554485	58.555805
Strain_080	Batch_1	47.191517	60.220856
Strain_081	Batch_1	48.083711	62.455778
Strain_082	Batch_3	55.19063	61.254535
Strain_083	Batch_3	52.156777	58.214625
Strain_084	Batch_2	54.184775	56.456683
Strain_085	Batch_1	45.534814	60.639897
Strain_086	Batch_1	52.85851	56.959969
Strain_087	Batch_1	47.391821	60.487368
Strain_088	Batch_2	47.652966	58.391195
Strain_089	Batch_1	53.360015	56.933389
Strain_090	Batch_2	51.652103	54.996132
Strain_091	Batch_1	46.396949	58.786736
Strain_092	Batch_1	56.337619	60.366546
Strain_093	Batch_3	46.921006	55.537849
Strain_094	Batch_3	54.451447	57.006729
Strain_095	Batch_2	50.998366	64.366723
Strain_096	Batch_2	51.883278	57.840965
Strain_097	Batch_1	50.644725	57.44945
Strain_098	Batch_3	51.84196	58.921925
Strain_099	Batch_1	NA	NA
Strain_100	Batch_1	54.487749	63.053935
Strain_101	Batch_2	46.753874	57.900428
Strain_102	Batch_1	50.69976	56.949517
Strain_103	Batch_2	48.715369	63.319467
Strain_104	Batch_2	47.903516	52.313775
Strain_105	Batch_2	46.728391	63.437382
Strain_106	Batch_2	50.997793	64.298502
Strain_107	Batch_3	51.56645	54.592884
Strain_108	Batch_3	47.242914	58.450719
Strain_109	Batch_3	48.986465	60.277381
Strain_110	Batch_3	50.065499	61.129112
Strain_111	Batch_1	52.48264	63.567915
Strain_112	Batch_3	46.097501	55.157139
Strain_113	Batch_3	53.134663	67.225969
Strain_114	Batch_3	54.938217	58.327251
Strain_115	Batch_2	42.916988	59.331222
Strain_116	Batch_3	53.929272	61.051609
Strain_117	Batch_3	52.846929	60.876495
Strain_118	Batch_3	50.613191	61.556848
Strain_119	Batch_1	49.780423	57.833121
Strain_120	Batch_1	56.240245	63.916752
Strain_121	Batch_3	46.550237	60.309786
Strain_122	Batch_2	46.837119	62.916396
Strain_123	Batch_3	45.840261	63.001954
Strain_124	Batch_2	52.914096	60.283739
Strain_125	Batch_1	50.634386	57.365218
Strain_126	Batch_2	46.181037	60.767676
Strain_127	Batch_2	57.178167	55.578904
Strain_128	Batch_2	51.83132	54.198485
Strain_129	Batch_1	49.079212	54.612143
Strain_130	Batch_1	49.581094	59.347309
Strain_131	Batch_1	45.949421	57.656709
Strain_132	Batch_3	54.696277	63.860751
Strain_133	Batch_3	51.99724	57.395185
Strain_134	Batch_1	54.321232	62.573112
Strain_135	Batch_1	48.313019	62.865944
Strain_136	Batch_3	49.41447	56.604688
Strain_137	Batch_1	47.461033	62.330317
Strain_138	Batch_3	50.475323	65.601974
Strain_139	Batch_2	51.840823	60.644865
Strain_140	Batch_1	51.099913	56.094881
Strain_141	Batch_1	50.310189	63.962899
Strain_142	Batch_3	54.4747	60.036751
Strain_143	Batch_2	50.775932	59.261194
Strain_144	Batch_3	53.778035	61.217171
Strain_145	Batch_2	50.830802	63.470629
Strain_146	Batch_1	49.757954	62.278704
Strain_147	Batch_2	47.509803	59.447056
Strain_148	Batch_3	48.31739	58.92254
Strain_149	Batch_2	51.675195	60.629423
Strain_150	Batch_3	51.233564	68.020141
Strain_151	Batch_3	49.067777	62.266339
Strain_152	Batch_1	52.205998	59.321797
Strain_153	Batch_2	49.377071	57.005314
Strain_154	Batch_1	49.175892	65.560851
Strain_155	Batch_2	51.644976	55.982576
Strain_156	Batch_2	58.653917	65.23457
Strain_157	Batch_2	48.832754	63.611217
Strain_158	Batch_2	50.868155	63.502204
Strain_159	Batch_1	49.340917	60.685553
Strain_160	Batch_2	49.370542	59.009381
Strain_161	Batch_1	48.919404	62.174542
Strain_162	Batch_2	54.734714	56.687733
Strain_163	Batch_1	46.329959	56.538307
Strain_164	Batch_3	50.726579	62.211786
Strain_165	Batch_2	48.330535	58.973574
Strain_166	Batch_1	48.373772	61.688708
Strain_167	Batch_3	44.650318	57.171443
Strain_168	Batch_2	48.780947	60.915583
Strain_169	Batch_3	54.162546	63.316122
Strain_170	Batch_2	44.202408	63.036176
Strain_171	Batch_3	57.95238	56.874873
Strain_172	Batch_3	49.29385	59.35857
Strain_173	Batch_1	53.920647	62.264269
Strain_174	Batch_2	NA	NA
Strain_175	Batch_3	52.723365	60.912572
Strain_176	Batch_1	49.488584	55.260273
Strain_177	Batch_1	52.468516	66.634275
Strain_178	Batch_3	51.741745	58.155801
Strain_179	Batch_2	46.509519	58.505115
Strain_180	Batch_3	44.898025	61.158037
Strain_181	Batch_2	48.602676	55.883356
Strain_182	Batch_2	49.102716	60.586784
Strain_183	Batch_2	51.124305	62.082891
Strain_184	Batch_1	51.807012	61.086943
Strain_185	Batch_2	48.8062	56.81436
Strain_186	Batch_1	48.523514	61.873014
Strain_187	Batch_1	53.328855	62.392468
Strain_188	Batch_1	47.686057	63.241068
Strain_189	Batch_2	48.810073	63.574249
Strain_190	Batch_2	50.675644	57.01997
Strain_191	Batch_3	46.731649	58.052193
Strain_192	Batch_3	47.896239	59.026829
Strain_193	Batch_1	54.959917	56.901522
Strain_194	Batch_2	56.01708	64.549872
Strain_195	Batch_2	48.422594	53.223532
Strain_196	Batch_3	50.191063	56.878282
Strain_197	Batch_3	48.464335	59.315005
Strain_198	Batch_3	43.121044	61.34391
Strain_199	Batch_3	55.601217	57.985401
Strain_200	Batch_2	49.695043	62.233431
Strain_001	Batch_1	49.466968	57.598203
Strain_002	Batch_1	50.64409	58.600795
Strain_003	Batch_3	52.510166	56.507564
Strain_004	Batch_1	50.763053	60.09317
Strain_005	Batch_2	49.850076	58.38098
Strain_006	Batch_2	48.515803	65.365861
Strain_007	Batch_3	52.896336	64.717261
Strain_008	Batch_2	47.205353	62.455133
Strain_009	Batch_1	50.509132	59.876148
Strain_010	Batch_3	48.38441	60.323846
Strain_011	Batch_1	51.064817	54.302853
Strain_012	Batch_1	52.402414	62.70473
Strain_013	Batch_3	46.265708	58.664054
Strain_014	Batch_2	49.665651	58.888722
Strain_015	Batch_1	NA	NA
Strain_016	Batch_1	48.870013	58.396705
Strain_017	Batch_2	52.322016	57.265773
Strain_018	Batch_2	45.566171	57.839358
Strain_019	Batch_2	46.745247	59.466195
Strain_020	Batch_2	48.405584	63.296826
Strain_021	Batch_1	46.241449	61.410723
Strain_022	Batch_3	51.105611	59.658314
Strain_023	Batch_3	42.660427	58.426653
Strain_024	Batch_2	44.281152	58.903811
Strain_025	Batch_3	50.403283	57.017389
Strain_026	Batch_3	51.243187	58.528254
Strain_027	Batch_3	51.859903	65.322625
Strain_028	Batch_2	51.06647	53.529283
Strain_029	Batch_3	54.487886	64.699031
Strain_030	Batch_3	52.261092	61.622562
Strain_031	Batch_2	53.523463	62.317238
Strain_032	Batch_2	46.096218	57.864914
Strain_033	Batch_3	54.781357	61.422068
Strain_034	Batch_2	54.749497	55.692014
Strain_035	Batch_3	46.557673	55.696001
Strain_036	Batch_2	52.944436	56.585306
Strain_037	Batch_2	41.83601	65.478413
Strain_038	Batch_1	49.221693	54.911081
Strain_039	Batch_2	49.602951	58.81828
Strain_040	Batch_3	53.343897	64.477813
Strain_041	Batch_1	50.632373	58.539576
Strain_042	Batch_1	48.672772	58.824076
Strain_043	Batch_3	50.568225	54.085856
Strain_044	Batch_2	54.873528	58.941283
Strain_045	Batch_1	50.913171	64.830994
Strain_046	Batch_1	43.835012	63.689563
Strain_047	Batch_3	55.360025	57.39837
Strain_048	Batch_3	48.67617	57.750135
Strain_049	Batch_3	53.363969	58.642422
Strain_050	Batch_1	55.32464	61.549598
Strain_051	Batch_2	50.292199	57.227069
Strain_052	Batch_2	50.924623	52.782897
Strain_053	Batch_3	52.898325	65.368365
Strain_054	Batch_3	53.046233	63.705074
Strain_055	Batch_3	53.923691	58.604482
Strain_056	Batch_3	49.576774	63.466563
Strain_057	Batch_2	43.676929	61.41701
Strain_058	Batch_1	50.899636	59.895305
Strain_059	Batch_3	54.793154	61.736541
Strain_060	Batch_2	50.471167	61.126808
Strain_061	Batch_1	52.188756	53.551008
Strain_062	Batch_3	54.869472	63.665871
Strain_063	Batch_3	70.139388	NA
Strain_064	Batch_3	52.842102	59.185264
Strain_065	Batch_2	47.940972	60.079576
Strain_066	Batch_1	51.104247	61.730268
Strain_067	Batch_2	51.734868	62.063741
Strain_068	Batch_3	53.996161	59.399977
Strain_069	Batch_1	53.139222	61.989748
Strain_070	Batch_2	50.931713	66.713877
Strain_071	Batch_1	52.292006	63.456927
Strain_072	Batch_2	49.510369	57.556768
Strain_073	Batch_2	53.995968	63.232176
Strain_074	Batch_3	53.675363	61.150406
Strain_075	Batch_2	52.961009	57.842021
Strain_076	Batch_2	49.669612	61.831895
Strain_077	Batch_2	52.868495	63.842576
Strain_078	Batch_2	54.327934	63.814927
Strain_079	Batch_2	51.472016	54.471819
Strain_080	Batch_3	47.776876	61.689715
Strain_081	Batch_1	49.700699	60.839366
Strain_082	Batch_1	48.743348	60.536097
Strain_083	Batch_3	51.00317	52.876245
Strain_084	Batch_3	54.663245	59.701304
Strain_085	Batch_3	44.606104	55.885457
Strain_086	Batch_3	48.493778	59.70695
Strain_087	Batch_2	49.104337	60.096582
Strain_088	Batch_1	49.804212	64.111274
Strain_089	Batch_1	48.16903	58.956385
Strain_090	Batch_3	49.094582	61.247138
Strain_091	Batch_2	49.194262	55.767504
Strain_092	Batch_2	52.985705	54.48813
Strain_093	Batch_3	57.087969	62.39279
Strain_094	Batch_1	52.359589	62.560705
Strain_095	Batch_3	53.376011	60.707859
Strain_096	Batch_3	54.844034	61.338792
Strain_097	Batch_1	49.839443	54.394923
Strain_098	Batch_1	50.967409	59.955063
Strain_099	Batch_3	52.009937	62.447859
Strain_100	Batch_3	53.769832	62.038506
Strain_101	Batch_2	49.578947	59.517412
Strain_102	Batch_2	46.002318	59.795859
Strain_103	Batch_3	47.178328	64.180043
Strain_104	Batch_2	47.38618	59.055973
Strain_105	Batch_3	52.239433	63.748055
Strain_106	Batch_3	52.857583	60.388445
Strain_107	Batch_2	52.613792	50.402958
Strain_108	Batch_3	46.66907	59.975921
Strain_109	Batch_3	49.043549	55.219969
Strain_110	Batch_1	50.391795	56.856659
Strain_111	Batch_3	52.681337	63.697799
Strain_112	Batch_1	50.322438	63.220119
Strain_113	Batch_2	48.344874	58.308784
Strain_114	Batch_1	50.160401	63.359779
Strain_115	Batch_3	44.53621	58.264106
Strain_116	Batch_3	50.166384	61.052798
Strain_117	Batch_2	50.688532	63.68301
Strain_118	Batch_2	47.909807	62.053825
Strain_119	Batch_1	46.72023	58.146241
Strain_120	Batch_2	54.863279	58.214704
Strain_121	Batch_3	52.345277	61.643874
Strain_122	Batch_3	48.194844	57.942643
Strain_123	Batch_3	44.475319	64.982242
Strain_124	Batch_2	54.155733	57.618392
Strain_125	Batch_1	59.406191	59.950006
Strain_126	Batch_2	NA	NA
Strain_127	Batch_3	52.672321	63.981029
Strain_128	Batch_2	54.953433	57.792777
Strain_129	Batch_3	49.041671	57.054391
Strain_130	Batch_3	48.580888	63.127796
Strain_131	Batch_1	45.560696	55.567766
Strain_132	Batch_2	50.479199	59.019168
Strain_133	Batch_2	52.545532	62.587498
Strain_134	Batch_2	51.844195	62.109872
Strain_135	Batch_2	49.577333	56.980598
Strain_136	Batch_2	50.4327	59.41465
Strain_137	Batch_1	44.594512	59.367996
Strain_138	Batch_1	53.813709	62.615052
Strain_139	Batch_3	46.334838	64.753115
Strain_140	Batch_1	46.720922	51.554856
Strain_141	Batch_3	50.2148	59.104213
Strain_142	Batch_3	54.818468	63.080903
Strain_143	Batch_2	55.158081	58.68174
Strain_144	Batch_3	52.182692	64.308137
Strain_145	Batch_2	48.675246	58.884252
Strain_146	Batch_1	45.325141	61.281657
Strain_147	Batch_1	47.98252	64.332509
Strain_148	Batch_2	46.323451	59.420893
Strain_149	Batch_1	50.359509	61.775087
Strain_150	Batch_3	50.463501	64.120725
Strain_151	Batch_2	47.858372	67.079631
Strain_152	Batch_2	51.369591	60.150679
Strain_153	Batch_3	49.423663	56.919004
Strain_154	Batch_1	45.791506	65.097128
Strain_155	Batch_1	54.006315	58.969634
Strain_156	Batch_2	57.437238	67.286302
Strain_157	Batch_3	54.669515	60.274577
Strain_158	Batch_1	52.288787	63.597535
Strain_159	Batch_1	44.995224	61.099141
Strain_160	Batch_3	51.604252	60.340635
Strain_161	Batch_3	52.562069	65.091573
Strain_162	Batch_2	58.13917	55.887469
Strain_163	Batch_1	47.415402	64.732248
Strain_164	Batch_3	53.681516	61.522542
Strain_165	Batch_3	51.706022	62.914752
Strain_166	Batch_3	47.700529	51.737395
Strain_167	Batch_1	48.581374	62.221731
Strain_168	Batch_3	52.335549	63.322398
Strain_169	Batch_3	54.442907	58.673441
Strain_170	Batch_1	49.112453	59.990759
Strain_171	Batch_2	54.27809	56.502375
Strain_172	Batch_1	46.552162	63.770826
Strain_173	Batch_2	46.785209	59.676735
Strain_174	Batch_2	54.155942	61.50584
Strain_175	Batch_1	48.24146	63.539364
Strain_176	Batch_3	48.028314	57.118447
Strain_177	Batch_1	52.126708	65.570656
Strain_178	Batch_2	48.848729	57.121463
Strain_179	Batch_2	45.182452	56.107507
Strain_180	Batch_1	45.763015	59.897175
Strain_181	Batch_2	52.02776	57.969758
Strain_182	Batch_1	50.50697	61.591594
Strain_183	Batch_1	54.505117	67.417993
Strain_184	Batch_2	52.380264	58.100092
Strain_185	Batch_2	51.317348	55.063224
Strain_186	Batch_2	47.985659	62.746679
Strain_187	Batch_2	45.027156	57.53478
Strain_188	Batch_3	49.930804	62.178947
Strain_189	Batch_1	50.454918	66.128414
Strain_190	Batch_1	49.541333	59.921089
Strain_191	Batch_1	48.614591	61.587175
Strain_192	Batch_1	46.86135	55.385928
Strain_193	Batch_3	47.86713	61.166568
Strain_194	Batch_2	53.233603	61.600464
Strain_195	Batch_1	51.789374	54.911767
Strain_196	Batch_1	53.641308	53.840811
Strain_197	Batch_3	45.064784	59.146878
Strain_198	Batch_3	45.82706	61.642412
Strain_199	Batch_1	54.266007	59.268906
Strain_200	Batch_1	52.699167	63.449593
